Ref,Val,Package,PosX,PosY,Rot,Side
"C2","10uF","C_0603_1608Metric",145.809000,-112.268000,0.000000,top
"C3","0.1uF","C_0402_1005Metric",144.554000,-103.124000,0.000000,top
"C4","22uF","C_0805_2012Metric",150.622000,-108.392000,-90.000000,top
"C5","22uF","C_0805_2012Metric",147.828000,-108.392000,-90.000000,top
"ESC","~","ESC",155.194000,-99.822000,-90.000000,top
"L1","4.7uH","L_Abracon_ASPI-4030S",149.376000,-103.632000,0.000000,top
"MPU-9250-Breakout","~","MPU9250-Breakout",150.302000,-130.578000,-90.000000,top
"Pico","Pico","RPi_Pico_SMD_TH",149.860000,-66.294000,0.000000,top
"Radio","~","Radio",162.560000,-35.998000,180.000000,top
"Voltage Regulator","AP63203WU","TSOT-23-6",144.018000,-108.204000,90.000000,top
